01Cyberaton Proenergy SA;01CYBATON;01C
Skoczowska Fabryka Kapeluszy Polkap SA w restrukturyzacji;SFKPOLKAP;SFK
Skotan SA;SKOTAN;SKT
Skyline Investment SA;SKYLINE;SKL
Sleepz AG;SLEEPZAG;SLZ
SMS Kredyt Holding SA;SMSKREDYT;SMS
Softblue SA;SOFTBLUE;SBE
Soho Development SA;SOHODEV;SHD
Solar Company SA;SOLAR;SOL
Solar Innovation SA;SOLARINOV;SIN
Sonel SA;SONEL;SON
Sonka SA;SONKA;SOK
Sopharma AD;SOPHARMA;SPH
Spark VC SA;SPARKVC;SPK
SpyroSoft SA;SPYROSOFT;SPR
Stalexport Autostrady SA;STALEXP;STX
Stalprodukt SA;STALPROD;STP
Stalprofil SA;STALPROFI;STF
Standrew SA;STANDREW;STD
Starhedge SA;STARHEDGE;SHG
Starward Industries SA;STARWARD;STA
Stem Cells Spin SA;STEMCELLS;SCS
Summa Linguae Technologies SA;SUMMALING;SUL
Sundragon SA;SUNDRAGON;SDG
Sunex SA;SUNEX;SNX
Suntech SA;SUNTECH;SUN
Surfland SA;SURFLAND;SSK
Suwary SA;SUWARY;SUW
Swissmed Centrum Zdrowia SA;SWISSMED;SWD
Sygnity SA;SYGNITY;SGN
Symbio Polska SA;SYMBIO;SYM
Synektik SA;SYNEKTIK;SNT
SYNERGA.fund SA;SYNERGA;SNG
Szar SA;SZAR;SZR
Śnieżka SA;SNIEZKA;SKA
Talanx AG;TALANX;TNX
Talex SA;TALEX;TLX
Tamex SA;TAMEX;TOS
Tarczyński SA;TARCZYNSKI;TAR
Tatry Mountain Resorts a.s.;TATRY;TMR
Tauron Polska Energia SA;TAURONPE;TPE
Tax-Net SA;TAXNET;TXN
Taxus Fund SA;TAXUSFUND;TXF
T-Bull SA;TBULL;TBL
Telemedycyna Polska SA;TELEMEDPL;TMP
Telesto SA;TELESTO;TLO
Telestrada SA;TELESTR;TLS
Telgam SA;TELGAM;TLG
Teliani Valley Polska SA;TELIANI;TLV
Ten Square Games SA;TSGAMES;TEN
Termo2Power SA;TERMO2PWR;T2P
Termoexpert SA;TERMOEXP;TME
Termo-Rex SA;TERMOREX;TRR
Tesgas SA;TESGAS;TSG
The Dust SA;THEDUST;THD
The Farm 51 Group SA;FARM51;F51
TIM SA;TIM;TIM
TopLevelTennis.com SA;TLTENNIS;TLT
Torpol SA;TORPOL;TOR
Tower Investments SA;TOWERINVT;TOW
Toya SA;TOYA;TOA
Trakcja SA;TRAKCJA;TRK
Trans Polonia SA;TRANSPOL;TRN
Triton Development SA;TRITON;TRI
True Games Syndicate SA;KKHERBAL;KKH
TXM SA;TXM;TXM
UHY ECA SA;UHYECA;ECA
Ulma Construccion Polska SA;ULMA;ULM
Ultimate Games SA;ULTGAMES;ULG
Unibep SA;UNIBEP;UNI
UniCredit SpA;UNICREDIT;UCG
Unified Factory SA;UNIFIED;UFC
Unima 2000 SA;UNIMA;U2K
Unimot SA;UNIMOT;UNT
United Label SA;UNILABGAM;UNL
Ursus SA w restrukturyzacji;URSUS;URS
Vabun SA;VABUN;VAB
Vakomtek SA;VAKOMTEK;VKT
Varsav Game Studios SA;VARSAV;VAR
Vee SA;VEE;VEE
Venture INC ASI SA;VENTUREIN;VTI
Verbicom SA;VERBICOM;VRB
Viatron SA;VIATRON;VIA
Vidis SA;VIDIS;VDS
Vigo System SA;VIGOSYS;VGO
Vistal Gdynia SA;VISTAL;VTL
Vivid Games SA;VIVID;VVD
Votum SA;VOTUM;VOT
Voxel SA;VOXEL;VOX
VRG SA;VRG;VRG
Warimpex AG;WARIMPEX;WXF
Wasko SA;WASKO;WAS
Wawel SA;WAWEL;WWL
Wealth Bay SA;WBAY;WBY
Werth-Holz SA;WERTHHOLZ;WHH
West Real Estate SA;WESTREAL;WRE
Wielton SA;WIELTON;WLT
Wierzyciel SA;WIERZYCL;WRL
Wikana SA;WIKANA;WIK
Wirtualna Polska Holding SA;WIRTUALNA;WPL
Wittchen SA;WITTCHEN;WTN
Wodkan SA;WODKAN;WOD
Wojas SA;WOJAS;WOJ
Wolfs Development SA;WOLFSTF;WTF
Work Service SA;WORKSERV;WSE
XBS Pro-Log SA;XBSPROLOG;XBS
XPlus SA;XPLUS;XPL
XTB DM SA;XTB;XTB
XTPL SA;XTPL;XTP
Yolo SA;YOLO;YOL
Yoshi Innovation SA;ACREBIT;ACR
Zamet SA;ZAMET;ZMT
ZE PAK SA;ZEPAK;ZEP
ZM Henryk Kania SA w upadłości;KANIA;KAN
ZM Ropczyce SA;ROPCZYCE;RPC
ZPC Otmuchów SA;OTMUCHOW;OTM
ZPUE SA;ZPUE;PUE
Zremb-Chojnice SA;ZREMB;ZRE
ZUE SA;ZUE;ZUE
ZUK Stąporków SA;STAPORKOW;ZUK
